title,artist,album,genre,duration
Say My Name,Destinys Child,The Writing on the Wall,rnb,271
Crazy in Love,Beyonce,Dangerously in Love,rnb,236
Halo,Beyonce,I Am Sasha Fierce,rnb,261
Irreplaceable,Beyonce,BDay,rnb,227
Umbrella,Rihanna,Good Girl Gone Bad,pop,275
Diamonds,Rihanna,Unapologetic,pop,225
We Found Love,Rihanna,Talk That Talk,edm,215
Stay,Rihanna,Unapologetic,rnb,240
Thinking Out Loud,Ed Sheeran,X,pop,281
All of Me,John Legend,Love in the Future,rnb,269
Ordinary People,John Legend,Get Lifted,rnb,281
Let Her Go,Passenger,All the Little Lights,folk-pop,252
Take Me to Church,Hozier,Hozier,indie,241
Someone You Loved,Lewis Capaldi,Divinely Uninspired to a Hellish Extent,pop,182
Drivers License,Olivia Rodrigo,SOUR,pop,242
Good 4 U,Olivia Rodrigo,SOUR,pop-rock,178
STAY,The Kid LAROI and Justin Bieber,Fck Love 3 Over You,pop,141
Lose Yourself,Eminem,8 Mile,hip-hop,326
Stan,Eminem,The Marshall Mathers LP,hip-hop,404
Without Me,Eminem,The Eminem Show,hip-hop,290
HUMBLE.,Kendrick Lamar,DAMN.,hip-hop,177
Alright,Kendrick Lamar,To Pimp a Butterfly,hip-hop,219
SICKO MODE,Travis Scott,Astroworld,hip-hop,312
Gods Plan,Drake,Scorpion,hip-hop,199
Hotline Bling,Drake,Views,hip-hop,267
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,hip-hop,292
Stronger,Kanye West,Graduation,hip-hop,311
Empire State of Mind,Jay-Z,The Blueprint 3,hip-hop,276
Nuthin But a G Thang,Dr Dre,The Chronic,hip-hop,239
Juicy,The Notorious B.I.G.,Ready to Die,hip-hop,300
California Love,2Pac,All Eyez on Me,hip-hop,284
Ms. Jackson,Outkast,Stankonia,hip-hop,270
Hey Ya!,Outkast,Speakerboxxx The Love Below,hip-hop,235
In Da Club,50 Cent,Get Rich or Die Tryin,hip-hop,193
Gold Digger,Kanye West,Late Registration,hip-hop,207
C.R.E.A.M.,Wu-Tang Clan,Enter the Wu-Tang 36 Chambers,hip-hop,252
Shook Ones Pt II,Mobb Deep,The Infamous,hip-hop,325
Blinding Lights,The Weeknd,After Hours,pop,200
Save Your Tears,The Weeknd,After Hours,pop,215
Levitating,Dua Lipa,Future Nostalgia,pop,203
Dont Start Now,Dua Lipa,Future Nostalgia,pop,183
Shape of You,Ed Sheeran,Divide,pop,233
Perfect,Ed Sheeran,Divide,pop,263
Bad Guy,Billie Eilish,When We All Fall Asleep Where Do We Go,pop,194
Happier Than Ever,Billie Eilish,Happier Than Ever,pop,298
Rolling in the Deep,Adele,21,pop,228
Someone Like You,Adele,21,pop,285
Shake It Off,Taylor Swift,1989,pop,219
Blank Space,Taylor Swift,1989,pop,231
Anti-Hero,Taylor Swift,Midnights,pop,200
Firework,Katy Perry,Teenage Dream,pop,227
Roar,Katy Perry,Prism,pop,223
Toxic,Britney Spears,In the Zone,pop,199
...Baby One More Time,Britney Spears,Baby One More Time,pop,211
Sorry,Justin Bieber,Purpose,pop,200
Peaches,Justin Bieber,Justice,pop,198
Uptown Funk,Mark Ronson,Uptown Special,funk-pop,270
Happy,Pharrell Williams,Girl,pop,233
Senorita,Shawn Mendes and Camila Cabello,Romance,pop,191
Havana,Camila Cabello,Camila,pop,217
Flowers,Miley Cyrus,Endless Summer Vacation,pop,200
As It Was,Harry Styles,Harrys House,pop,167
Watermelon Sugar,Harry Styles,Fine Line,pop,174
One Dance,Drake,Views,pop,173
Call Me Maybe,Carly Rae Jepsen,Kiss,pop,193
Chandelier,Sia,1000 Forms of Fear,pop,216
Royals,Lorde,Pure Heroine,pop,190
Bohemian Rhapsody,Queen,A Night at the Opera,rock,354
Dont Stop Me Now,Queen,Jazz,209
Hotel California,Eagles,Hotel California,rock,391
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,rock,482
Kashmir,Led Zeppelin,Physical Graffiti,rock,517
Sweet Child O Mine,Guns N Roses,Appetite for Destruction,rock,356
November Rain,Guns N Roses,Use Your Illusion I,rock,537
Smells Like Teen Spirit,Nirvana,Nevermind,grunge,301
Come As You Are,Nirvana,Nevermind,grunge,219
Wonderwall,Oasis,Whats the Story Morning Glory,rock,258
Dont Look Back in Anger,Oasis,Whats the Story Morning Glory,rock,288
Yellow,Coldplay,Parachutes,alternative,269
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,alternative,242
Clocks,Coldplay,A Rush of Blood to the Head,alternative,307
Fix You,Coldplay,X and Y,alternative,295
Mr Brightside,The Killers,Hot Fuss,alternative,222
Seven Nation Army,The White Stripes,Elephant,rock,231
Use Somebody,Kings of Leon,Only by the Night,rock,231
Radioactive,Imagine Dragons,Night Visions,rock,186
Believer,Imagine Dragons,Evolve,rock,204
Numb,Linkin Park,Meteora,nu-metal,187
In the End,Linkin Park,Hybrid Theory,nu-metal,216
Boulevard of Broken Dreams,Green Day,American Idiot,punk-rock,261
American Idiot,Green Day,American Idiot,punk-rock,174
Livin on a Prayer,Bon Jovi,Slippery When Wet,rock,250
Billie Jean,Michael Jackson,Thriller,pop,294
Beat It,Michael Jackson,Thriller,rock,258
Thriller,Michael Jackson,Thriller,pop,357
Smooth Criminal,Michael Jackson,Bad,pop,257
Like a Prayer,Madonna,Like a Prayer,pop,342
I Wanna Dance with Somebody,Whitney Houston,Whitney,pop,292
I Will Always Love You,Whitney Houston,The Bodyguard,rnb,271
No Scrubs,TLC,FanMail,rnb,214
Say My Name,Destinys Child,The Writing on the Wall,rnb,271
Crazy in Love,Beyonce,Dangerously in Love,rnb,236
Halo,Beyonce,I Am Sasha Fierce,rnb,261
Irreplaceable,Beyonce,BDay,rnb,227
Umbrella,Rihanna,Good Girl Gone Bad,pop,275
Diamonds,Rihanna,Unapologetic,pop,225
We Found Love,Rihanna,Talk That Talk,edm,215
Stay,Rihanna,Unapologetic,rnb,240
Thinking Out Loud,Ed Sheeran,X,pop,281
All of Me,John Legend,Love in the Future,rnb,269
Ordinary People,John Legend,Get Lifted,rnb,281
Let Her Go,Passenger,All the Little Lights,folk-pop,252
Take Me to Church,Hozier,Hozier,indie,241
Someone You Loved,Lewis Capaldi,Divinely Uninspired to a Hellish Extent,pop,182
Drivers License,Olivia Rodrigo,SOUR,pop,242
Good 4 U,Olivia Rodrigo,SOUR,pop-rock,178
STAY,The Kid LAROI and Justin Bieber,Fck Love 3 Over You,pop,141
